ewondo (ewo)
Ǹkɔ́bɔ akán (ak)
Ǹkɔ́bɔ amária (am)
Ǹkɔ́bɔ arábia (ar)
Ǹkɔ́bɔ aúsá (ha)
Ǹkɔ́bɔ belarúsian (be)
Ǹkɔ́bɔ bɛngalí (bn)
Ǹkɔ́bɔ birǝmán (my)
Ǹkɔ́bɔ bulǝgárian (bg)
Ǹkɔ́bɔ éngǝlís (en)
Ǹkɔ́bɔ etáliɛn (it)
Ǹkɔ́bɔ ɛndonésian (id)
ǹkɔ́bɔ fɛ́rǝsian (fa)
ǹkɔ́bɔ fólis (pl)
ǹkɔ́bɔ fɔtugɛ́s (pt)
Ǹkɔ́bɔ fulɛnsí (fr)
ǹkɔ́bɔ funǝhábia (pa)
Ǹkɔ́bɔ gǝlɛ́g (el)
Ǹkɔ́bɔ hapɔ́n (ja)
Ǹkɔ́bɔ havanís (jv)
ǹkɔ́bɔ hiɛdǝnám (vi)
Ǹkɔ́bɔ hindí (hi)
Ǹkɔ́bɔ ibó (ig)
Ǹkɔ́bɔ kǝmɛ́r (km)
Ǹkɔ́bɔ koréan (ko)
ǹkɔ́bɔ kpǝnyá (es)
Ǹkɔ́bɔ malɛ́sian (ms)
Ǹkɔ́bɔ ndzáman (de)
ǹkɔ́bɔ nefálian (ne)
Ǹkɔ́bɔ nɛrǝlándía (nl)
ńkɔ́bɔ románía (ro)
ǹkɔ́bɔ rúsian (ru)
ǹkɔ́bɔ ruwandá (rw)
ǹkɔ́bɔ somália (so)
ǹkɔ́bɔ suwɛ́d (sv)
ǹkɔ́bɔ táilan (th)
ǹkɔ́bɔ tamíl (ta)
Ǹkɔ́bɔ tsainís (zh)
Ǹkɔ́bɔ tsɛ́g (cs)
ǹkɔ́bɔ túrǝki (tr)
ǹkɔ́bɔ ukelénia (uk)
Ǹkɔ́bɔ ungárían (hu)
ǹkɔ́bɔ urudú (ur)
ǹkɔ́bɔ yorúba (yo)
ǹkɔ́bɔ zulú (zu)
