Aarabeere (ar)
Akaan (ak)
Amarik (am)
Belaruuse (be)
Bengali (bn)
Bulgariire (bg)
Burmeese (my)
Cekkere (cs)
Dacceere (nl)
Docceere (de)
Endonesiire (id)
Engeleere (en)
Español (es)
Farayseere (fr)
Gerke (el)
Hawsaŋkoore (ha)
Hinndi (hi)
Hongariire (hu)
Igiboore (ig)
Italiyeere (it)
Kemeere (km)
Koreere (ko)
Malayeere (ms)
Nepaaleere (ne)
Perseere (fa)
Poloneere (pl)
Pulaar (ff)
Punjabeere (pa)
Purtugeere (pt)
Riis (ru)
Romaneere (ro)
Ruwaanndeere (rw)
Saponeere (ja)
Sawaneere (jv)
Sinuwaare (zh)
Somalii (so)
Suluŋkoore (zu)
Sweedeere (sv)
Taay (th)
Tamil (ta)
Turkeere (tr)
Ukereneere (uk)
Urdu (ur)
Wiyetnameere (vi)
Yorrubaa (yo)
