abhaasi (ab)
adangme (ada)
adyge (ady)
afar (aa)
afrihili (afh)
afrikaans (af)
afroaasialainen kieli (afa)
aimara (ay)
ainu (ain)
akan (ak)
akkadi (akk)
alasaksa (nds)
alasorbi (dsb)
albania (sq)
aleutti (ale)
algonkikieli (alg)
altai (alt)
altailainen kieli (tut)
amerikanenglanti (en_US)
amerikanespanja (es_419)
amhara (am)
angika (anp)
apaššikieli (apa)
arabia (ar)
aragonia (an)
arapaho (arp)
arawak (arw)
armenia (hy)
aromania (rup)
assami (as)
asturia (ast)
asu (asa)
athabascakieli (ath)
atsam (cch)
atšeh (ace)
atšoli (ach)
australialainen kieli (aus)
australianenglanti (en_AU)
austronesialainen kieli (map)
avaari (av)
avesta (ae)
awadhi (awa)
azeri (az)
bali (ban)
balttilainen kieli (bat)
bambara (bm)
bamilekekieli (bai)
banda (bad)
bantukieli (bnt)
basa (bas)
baski (eu)
baškiiri (ba)
batakkieli (btk)
bedža (bej)
belutši (bal)
bemba (bem)
bena (bez)
bengali (bn)
berberikieli (ber)
bhodžpuri (bho)
bihari (bh)
bikol (bik)
bilin (byn)
bini (bin)
bislama (bi)
blisskieli (zbl)
bodo (brx)
bosnia (bs)
bradž (bra)
brasilianportugali (pt_BR)
bretoni (br)
britannianenglanti (en_GB)
bugi (bug)
bulgaria (bg)
burjaatti (bua)
burma (my)
caddo (cad)
cebuano (ceb)
cherokee (chr)
cheyenne (chy)
chinook-jargon (chn)
chipewyan (chp)
choctaw (cho)
chuuk (chk)
cree (cr)
creek (mus)
dakota (dak)
dargi (dar)
delaware (del)
dinka (din)
divehi (dv)
djula (dyu)
dogri (doi)
dogrib (dgr)
dravidakieli (dra)
duala (dua)
dzongkha (dz)
efik (efi)
ei kielellistä sisältöä (zxx)
ekajuk (eka)
elami (elx)
embu (ebu)
englanti (en)
englantiin perustuva kreoli- tai pidgin-kieli (cpe)
ersä (myv)
espanja (es)
espanjanespanja (es_ES)
esperanto (eo)
etelä-ndebele (nr)
eteläamerikkalainen intiaanikieli (sai)
eteläsaame (sma)
eteläsotho (st)
ewe (ee)
ewondo (ewo)
fang (fan)
fanti (fat)
farsi (fa)
fidži (fj)
filipino (fil)
filippiiniläiskieli (phi)
flaami (nl_BE)
foinikia (phn)
fon (fon)
friuli (fur)
fulani (ff)
fääri (fo)
ga (gaa)
gaeli (gd)
gajo (gay)
galicia (gl)
ganda (lg)
gbaja (gba)
ge’ez (gez)
georgia (ka)
germaaninen kieli (gem)
gondi (gon)
gootti (got)
gorontalo (gor)
grebo (grb)
guarani (gn)
gudžarati (gu)
gwitšin (gwi)
haida (hai)
haiti (ht)
hausa (ha)
havaiji (haw)
heetti (hit)
heprea (he)
herero (hz)
hiligaino (hil)
himatšali (him)
hindi (hi)
hiri-motu (ho)
hmong (hmn)
hollanti (nl)
hupa (hup)
iban (iba)
ido (io)
idžokieli (ijo)
igbo (ig)
iiri (ga)
iloko (ilo)
inarinsaame (smn)
indoarjalainen kieli (inc)
