aa (aa)
Abcáisis (ab)
Afracáinis (af)
Airméinis (hy)
Aivéistis (ae)
Albáinis (sq)
Amarais (am)
Araibis (ar)
Asaimis (as)
Asarbaiseáinis (az)
Baiscíris (ba)
Bascais (eu)
Bealarúisis (be)
Beangáilis (bn)
Béarla (en)
Bihairis (bh)
Boisnis (bs)
Breatnais (cy)
Briotáinis (br)
Bulgáiris (bg)
Burmais (my)
Caismíris (ks)
Cambóidis (km)
Cannadais (kn)
Casachais (kk)
Catalóinis (ca)
Ceatsuais (qu)
Cirgeasais (ky)
Coirdis (ku)
Cóiréis (ko)
Cornais (kw)
Corsaicis (co)
Cósais (xh)
Craíais (cr)
Cróitis (hr)
Danmhairgis (da)
Eabhrais (he)
Eastóinis (et)
Esperanto (eo)
Faróis (fo)
Fidsis (fj)
Fionlainnis (fi)
Fraincis (fr)
Freaslainnis Iartharach (fy)
Gaeilge (ga)
Gaeilge na hAlban (gd)
Gailísis (gl)
Gearmáinis (de)
Giúdais (yi)
Gréigis (el)
Guaráinis (gn)
Gúisearáitis (gu)
Haváíais (haw)
Hiondúis (hi)
Iávais (jv)
Ido (io)
Indinéisis (id)
Interlingua (ia)
Interlingue (ie)
Inupiaq (ik)
Iodáilis (it)
Ionúitis (iu)
Ioruais (no)
Ioruais Bokmål (nb)
Ioruais Nynorsk (nn)
Íoslainnis (is)
Klingon (tlh)
Laidin (la)
Laitvis (lv)
Laosais (lo)
Leitseabuirgis (lb)
Liotuáinis (lt)
ln (ln)
Macadóinis (mk)
Mailéalaimis (ml)
Malaeis (ms)
Malagásais (mg)
Maltais (mt)
Mannainis (gv)
Maorais (mi)
Maraitis (mr)
Moldáivis (mo)
Mongóilis (mn)
Nárúis (na)
Navachóis (nv)
Neipealais (ne)
Ocatáinis (oc)
Óiséitis (os)
Ollainnis (nl)
Oraisis (or)
Paistis (ps)
Peirsis (fa)
Polainnis (pl)
Portaingéilis (pt)
Portaingéilis Bhrasaíleach (pt_BR)
Portaingéilis Ibéireach (pt_PT)
Puinseáibis (pa)
Rómáinis (ro)
Rúisis (ru)
Sáimis Thuaidh (se)
Sairdínis (sc)
Samóis (sm)
Sanscrait (sa)
Seapáinis (ja)
Seicis (cs)
Seirbea-Chróitis (sh)
Seirbis (sr)
Seoirsis (ka)
Sindis (sd)
Sínis (zh)
Sínis Shimplithe (zh_Hans)
Sínis Thraidisiúnta (zh_Hant)
Siolóinis (si)
Sisinis (ce)
Slavais na hEaglaise (cu)
Slóivéinis (sl)
Slóvaicis (sk)
Somáilis (so)
Sótais Dheisceartach (st)
Spáinnis (es)
Sualainnis (sv)
Súlúis (zu)
Sundais (su)
Suvaisis (cv)
Svahaílis (sw)
Tagálaigis (tl)
Taihítis (ty)
Tamailis (ta)
Tatarais (tt)
Téalainnis (th)
Teanga Anaithnid nó Neamhbhailí (und)
Teileagúis (te)
Tibéadais (bo)
Tigrinis (ti)
Tuircis (tr)
Tuircméinis (tk)
Tvís (tw)
Úcráinis (uk)
ug (ug)
Úisbéicis (uz)
Ungáiris (hu)
Urdais (ur)
Vallúnais (wa)
Vítneamais (vi)
