iso,name
ak,Akan
am,Amharik
be,Belarusanci
bn,Bengali
bg,Bulgaranci
my,Burmanci
fr,Faransanci
el,Girkanci
vi,"Harshen Biyetinam"
cs,"Harshen Cak"
hi,"Harshen Hindi"
hu,"Harshen Hungari"
id,"Harshen Indunusiya"
km,"Harshen Kimar"
ko,"Harshen Koreya"
ms,"Harshen Malai"
pl,"Harshen Polan"
pt,"Harshen Portugal"
zh,"Harshen Sin"
sv,"Harshen Suwedan"
tr,"Harshen Turkiyya"
ur,"Harshen Urdu"
uk,"Harshen Yukuren"
zu,"Harshen Zulu"
ha,Hausa
nl,Holanci
ig,Inyamuranci
es,Ispaniyanci
it,Italiyanci
jv,Jabananci
de,Jamusanci
ja,Japananci
rw,Kiniyaruwanda
ar,Larabci
ne,Nepali
fa,Parisanci
pa,Punjabi
ru,Rashanci
ro,Romaniyanci
so,Somali
ta,Tamil
th,Thai
en,Turanci
yo,Yarbanci
