Akan (ak)
Amariikị (am)
Arabiikị (ar)
Awụsa (ha)
Belaruusu (be)
Bengali (bn)
Bọlụgarịa (bg)
Cheekị (cs)
Dọọch (nl)
Fụrench (fr)
Giriikị (el)
Hindi (hi)
Igbo (ig)
Indonisia (id)
Italo (it)
Jamaan (de)
Japanese (ja)
Java (jv)
Keme, Etiti (km)
Koria (ko)
Magịya (hu)
Maleyi (ms)
Mandarịịnị (zh)
Mịanma (my)
Nepali (ne)
Oyibo (en)
Panya (es)
Peshan (fa)
Poliishi (pl)
Potoki (pt)
Punjabi (pa)
Rọshan (ru)
Rumenia (ro)
Rụwanda (rw)
Somali (so)
Sụwidiishi (sv)
Taị (th)
Tamụlụ (ta)
Tọkiishi (tr)
Ukureenị (uk)
Urudu (ur)
Viyetịnaamụ (vi)
Yoruba (yo)
Zulu (zu)
