アイスランド語 (is)
アイヌ語 (ain)
アイマラ語 (ay)
アイルランド語 (ga)
アヴァル語 (av)
アヴェスタ語 (ae)
アカン語 (ak)
アサパスカン語族 (ath)
アストゥリアス語 (ast)
アス語 (asa)
アゼルバイジャン語 (az)
アタパスカ語 (hup)
アダングメ語 (ada)
アチェー語 (ace)
アチョリ語 (ach)
アッカド語 (akk)
アッサム語 (as)
アディゲ語 (ady)
アパッチ語族 (apa)
アファル語 (aa)
アブハズ語 (ab)
アフリカーンス語 (af)
アフリヒリ語 (afh)
アムハラ語 (am)
アメリカ英語 (en_US)
アラウカン語 (arn)
アラゴン語 (an)
アラパホー語 (arp)
アラビア語 (ar)
アラム語 (arc)
アラワク語 (arw)
アルーマニア語 (rup)
アルゴンキアン語族 (alg)
アルタイ諸語 (tut)
アルバニア語 (sq)
アルメニア語 (hy)
アレウト語 (ale)
アワディー語 (awa)
アンギカ語 (anp)
イギリス英語 (en_GB)
イジョー語 (ijo)
イタリア語 (it)
イディッシュ語 (yi)
イド語 (io)
イナリ・サーミ語 (smn)
イヌクウティトット語 (iu)
イヌピアック語 (ik)
イバン語 (iba)
イボ語 (ig)
イラン語 (ira)
イロカノ語 (ilo)
イロコイ語族 (iro)
イングシ語 (inh)
インターリングア語 (ia)
インターリング語 (ie)
インドネシア語 (id)
インド諸語 (inc)
ヴァイ語 (vai)
ヴァリス語 (wae)
ウイグル語 (ug)
ウェールズ語 (cy)
ウォロフ語 (wo)
ウガリト語 (uga)
ウクライナ語 (uk)
ウズベク語 (uz)
ウドムルト語 (udm)
ウルドゥー語 (ur)
ウンブンドゥ語 (umb)
エウェ語 (ee)
エウォンド語 (ewo)
エカジュク語 (eka)
エストニア語 (et)
エスペラント語 (eo)
エフィック語 (efi)
エラム語 (elx)
エルジャ語 (myv)
エンブ語 (ebu)
オーストラリア英語 (en_AU)
オーストラリア語族 (aus)
オーストロネシア諸語 (map)
オスマントルコ語 (ota)
オセージ語 (osa)
オセト語 (os)
オック語 (oc)
オトミ語族 (oto)
オブジワ語 (oj)
オランダ語 (nl)
オリヤー語 (or)
オロモ語 (om)
カーボベルデ・クレオール語 (kea)
カウィ語 (kaw)
カザフ語 (kk)
カジェ語 (kaj)
カシミール語 (ks)
カシューブ語 (csb)
カシ語 (kha)
カタブ語 (kcg)
カタロニア語 (ca)
カチン語 (kac)
カドー語 (cad)
カナダ英語 (en_CA)
カヌリ語 (kr)
カバルド語 (kbd)
カビル語 (kab)
ガヨ語 (gay)
カラ・カルパク語 (kaa)
カラチャイ語 (krc)
ガリシア語 (gl)
カリブ語 (car)
カルムイク語 (xal)
カレリア語 (krl)
カレン語 (kar)
ガンダ語 (lg)
カンナダ語 (kn)
カンバ語 (kam)
ガ語 (gaa)
キクユ語 (ki)
ギリシャ語 (el)
キリバス語 (gil)
キルギス語 (ky)
キンブンドゥ語 (kmb)
クアニャマ語 (kj)
グアラニー語 (gn)
グウィッチン語 (gwi)
グジャラート語 (gu)
クシュ諸語 (cus)
クテナイ語 (kut)
クペレ語 (kpe)
クムク語 (kum)
クメール語 (km)
クリーク語 (mus)
グリーンランド語 (kl)
クリー語 (cr)
クリミア・タタール語 (crh)
クリンゴン語 (tlh)
クルー語 (kro)
クルク語 (kru)
グルジア語 (ka)
クルド語 (ku)
グレボ語 (grb)
クロアチア語 (hr)
ゲエズ語 (gez)
ケチュア語 (qu)
ケルト諸語 (cel)
ゲルマン諸語 (gem)
コイサン諸語 (khi)
コーカサス諸語 (cau)
コータン語 (kho)
ゴート語 (got)
コーンウォール語 (kw)
ゴーンディー語 (gon)
コサ語 (xh)
コシャエ語 (kos)
コプト語 (cop)
コミ語 (kv)
コモロ語 (swb)
コルシカ語 (co)
ゴロンタロ語 (gor)
コロ語 (kfo)
コンカニ語 (kok)
コンゴ語 (kg)
サーミ諸語 (smi)
ササク語 (sas)
ザポテック語 (zap)
サマリア・アラム語 (sam)
サモア語 (sm)
サルデーニャ語 (sc)
サンゴ語 (sg)
サンスクリット語 (sa)
サンターリー語 (sat)
サンダウェ語 (sad)
ザンデ語 (znd)
シクシカ語 (bla)
シスワティ語 (ss)
シダモ語 (sid)
シチリア語 (scn)
シナ・チベット諸語 (sit)
シャイアン語 (chy)
ジャワ語 (jv)
シャン語 (shn)
シュメール語 (sux)
ショナ語 (sn)
シリア語 (syr)
シンド語 (sd)
シンハラ語 (si)
スイスドイツ語 (gsw)
スウェーデン語 (sv)
ズールー語 (zu)
スー語族 (sio)
スクマ語 (suk)
スコットランド・ゲール語 (gd)
スコットランド語 (sco)
スコルト・サーミ語 (sms)
スス語 (sus)
ズニ語 (zun)
スペイン語 (es)
スペイン語[イベリア半島] (es_ES)
スペイン語[ラテンアメリカ] (es_419)
スラブ諸語 (sla)
スリナム語 (srn)
スレイビー語 (den)
スロバキア語 (sk)
スロベニア語 (sl)
スワヒリ語 (sw)
スンダ語 (su)
セイリッシュ語族 (sal)
ゼナガ語 (zen)
セブアノ語 (ceb)
セム・ハム諸語 (afa)
セム諸語 (sem)
セリクプ語 (sel)
セルビア語 (sr)
セルボ＝クロアチア語 (sh)
セレル語 (srr)
ソグド語 (sog)
ソニンケ語 (snk)
その他の言語 (mis)
その他の混成語・混合語 (crp)
ソマリ語 (so)
ソルビア語族 (wen)
ソンガイ語 (son)
ゾンカ語 (dz)
タイ語 (th)
タイ諸語 (tai)
タガログ語 (tl)
ダコタ語 (dak)
タジク語 (tg)
タタール語 (tt)
タヒチ語 (ty)
タマシェク語 (tmh)
タミール語 (ta)
ダヤク語 (day)
ダルガン語 (dar)
チェコ語 (cs)
チェチェン語 (ce)
チェロキー語 (chr)
チブチャ語 (chb)
チベット語 (bo)
チペワイアン語 (chp)
チムシュ語 (tsi)
チャガタイ語 (chg)
チャム語族 (cmc)
チャモロ語 (ch)
チャワイ語 (cch)
チュヴァシュ語 (cv)
チューク語 (chk)
チョクトー語 (cho)
チワン語 (za)
ツォンガ語 (ts)
ツバル語 (tvl)
ツワナ語 (tn)
ティグリニア語 (ti)
ティグレ語 (tig)
ティブ語 (tiv)
ディベヒ語 (dv)
ディンカ語 (din)
デゥウラ語 (dyu)
テトゥン語 (tet)
テムネ語 (tem)
デラウェア語 (del)
テルグ語 (te)
テレーノ語 (ter)
デンマーク語 (da)
ドイツ語 (de)
ドイツ語[オーストリア] (de_AT)
ドゥアラ語 (dua)
トウィ語 (tw)
トゥヴァ語 (tyv)
トゥピ語族 (tup)
トゥンブカ語 (tum)
トク・ピシン語 (tpi)
ドグリブ語 (dgr)
ドグリ語 (doi)
トケラウ語 (tkl)
ドラヴィダ諸語 (dra)
