Chakan (ak)
Chalabu (ar)
Chamhali (am)
Chiajemi (fa)
Chibangla (bn)
Chibelalusi (be)
Chibulgalia (bg)
Chibulma (my)
Chichechi (cs)
Chichina (zh)
Chidyapani (ja)
Chidyava (jv)
Chidyelumani (de)
Chifalansa (fr)
Chigilichi (el)
Chihausa (ha)
Chihindi (hi)
Chihispania (es)
Chiholanzi (nl)
Chihungali (hu)
Chiigbo (ig)
Chiingeleza (en)
Chiiongonesia (id)
Chiitaliano (it)
Chikambodia (km)
Chikolea (ko)
Chileno (pt)
Chilomania (ro)
Chilusi (ru)
Chimakonde (kde)
Chimalesia (ms)
Chinepali (ne)
Chinyalwanda (rw)
Chipolandi (pl)
Chipunjabi (pa)
Chisomali (so)
Chiswidi (sv)
Chitailandi (th)
Chitamil (ta)
Chituluchi (tr)
Chiuklania (uk)
Chiuldu (ur)
Chivietinamu (vi)
Chiyoluba (yo)
Chizulu (zu)
