riakan (ak)
riamarik (am)
riarab (ar)
ribɛlɔrís (be)
ribɛngáli (bn)
ribirmán (my)
ribulgarí (bg)
ricɛ́k (cs)
ricinɔá (zh)
ridjɛrman (de)
rigrɛ́k (el)
riigbo (ig)
riíndí (hi)
riindonɛsí (id)
riingɛrís (en)
riitalyɛ́n (it)
rijapɔ́ŋ (ja)
rijawanɛ́ (jv)
rikaksa (ha)
rikmɛr (km)
rikɔrɛɛ́ (ko)
rikpa (ksf)
rikpanyá (es)
rimalaí (ms)
rinepalɛ́ (ne)
riɔlándɛ́ (nl)
riɔngrɔá (hu)
ripɛnjabí (pa)
ripɛrɛsǝ́ (fr)
ripɛrsán (fa)
ripɔlɔ́n (pl)
ripɔrtugɛ́ (pt)
rirís (ru)
rirɔmán (ro)
rirwanda (rw)
risomalí (so)
riswɛ́dǝ (sv)
ritaí (th)
ritamúl (ta)
riturk (tr)
riukrɛ́n (uk)
riurdú (ur)
riwyɛtnám (vi)
riyúuba (yo)
rizúlu (zu)
