akan (ak)
hausa (ha)
igbo (ig)
kinyarwanda (rw)
lialabo (ar)
lialemá (de)
liamariki (am)
libengali (bn)
libiligali (bg)
libilimá (my)
libyelorisí (be)
lifalamá (nl)
lifalansɛ́ (fr)
ligeleki (el)
lihindi (hi)
likambodza (km)
likoreya (ko)
likrɛni (uk)
limalezi (ms)
lindonezi (id)
linepalɛ (ne)
lingála (ln)
lingɛlɛ́sa (en)
liongili (hu)
lipelésanɛ (fa)
lipendzabi (pa)
lipolonɛ (pl)
lipulutugɛ́si (pt)
lirisí (ru)
liromani (ro)
lisinwa (zh)
lisipanye (es)
lisomali (so)
lisuwedɛ (sv)
litaliano (it)
litamuli (ta)
litaye (th)
litiliki (tr)
litshekɛ (cs)
liurdu (ur)
liviyetinámi (vi)
lizapɔ (ja)
lizava (jv)
yoruba (yo)
zulu (zu)
