Arabi (ar)
Belarusi (be)
Bengali (bn)
Bulegari (bg)
Giliki (el)
Hausa (ha)
Hindi (hi)
Hongili (hu)
Igbo (ig)
Java (jv)
kinyarwanda (rw)
Liakan (ak)
Liamhariki (am)
Lihispania (es)
Likoreya (ko)
Limalezia (ms)
Lindonezia (id)
Lingelesa (en)
Lipunjabi (pa)
Lirisi (ru)
Liromani (ro)
Lisomali (so)
Lisuwidi (sv)
Litali (it)
Liviyetinamu (vi)
Liyapani (ja)
Lizelumani (de)
Mfwàlànsa (fr)
Mpepajemi (fa)
Mpoloni (pl)
Mputulugɛsi (pt)
Mtamuili (ta)
nepali (ne)
Nkrani (uk)
Ntailandi (th)
Ntuluki (tr)
Nyoruba (yo)
Nzulu (zu)
olandi (nl)
shinɛ (zh)
Tsheki (cs)
Tshiluba (lu)
Urdu (ur)
