Kĩakani (ak)
Kĩamarĩki (am)
Kĩarabu (ar)
Kĩbangira (bn)
Kĩbelarusi (be)
Kĩbulugĩria (bg)
Kĩburma (my)
Kĩcheki (cs)
Kĩchina (zh)
Kĩfuransi (fr)
Kĩhangarĩ (hu)
Kĩhausa (ha)
Kĩhĩndi (hi)
Kĩholandi (nl)
Kĩigbo (ig)
Kĩindonesia (id)
Kĩitalĩ (it)
Kĩjapani (ja)
Kĩjava (jv)
Kĩkambodia (km)
Kĩkorea (ko)
Kĩmalesia (ms)
Kĩmĩrũ (mer)
Kĩnepali (ne)
Kĩngeretha (en)
Kĩngiriki (el)
Kĩnjamanĩ (de)
Kĩpasia (fa)
Kĩpochogo (pt)
Kĩpolandi (pl)
Kĩpunjabu (pa)
Kĩrashia (ru)
Kĩromania (ro)
Kĩrwanda (rw)
Kĩsomali (so)
Kĩspĩni (es)
Kĩswideni (sv)
Kĩtakĩ (tr)
Kĩtamilu (ta)
Kĩthailandi (th)
Kĩukirĩni (uk)
Kĩurdu (ur)
Kĩvietinamu (vi)
Kĩyoruba (yo)
Kĩzulu (zu)
