akan (ak)
alman (de)
amarik (am)
angle (en)
arab (ar)
bengali (bn)
bieloris (be)
bilgar (bg)
birman (my)
espagnol (es)
franse (fr)
grek (el)
haoussa (ha)
hindi (hi)
hongrwa (hu)
igbo (ig)
ikrenien (uk)
indonezien (id)
italien (it)
khmer, santral (km)
koreen (ko)
kreol morisien (mfe)
male (ms)
nepale (ne)
olande (nl)
ourdou (ur)
penjabi (pa)
persan (fa)
polone (pl)
portige (pt)
ris (ru)
roumin (ro)
rwanda (rw)
sinwa, mandarin (zh)
somali (so)
swedwa (sv)
tamoul (ta)
tchek (cs)
thaï (th)
tirk (tr)
vietnamien (vi)
yoruba (yo)
zapone (ja)
zavane (jv)
zoulou (zu)
