Akan (ak)
Alemanina (de)
Amharika (am)
Anglisy (en)
Arabo (ar)
Bengali (bn)
Bielorosy (be)
Biolgara (bg)
Birmana (my)
Espaniola (es)
Frantsay (fr)
Grika (el)
haoussa (ha)
hindi (hi)
Holandey (nl)
hongroà (hu)
igbo (ig)
Indonezianina (id)
Italianina (it)
Japoney (ja)
Javaney (jv)
khmer (km)
Koreanina (ko)
Malagasy (mg)
Malay (ms)
Nepale (ne)
Okrainianina (uk)
Ordò (ur)
Penjabi (pa)
Persa (fa)
Poloney (pl)
Portiogey (pt)
Roande (rw)
Romanianina (ro)
Rosianina (ru)
Sinoa, Mandarin (zh)
Soisa (sv)
Somalianina (so)
Taioaney (th)
Tamoila (ta)
Tiorka (tr)
Tseky (cs)
Vietnamianina (vi)
Yôrobà (yo)
Zolò (zu)
