Oru-Urudu (ur)
Orubengari (bn)
Oruberarusi (be)
Oruburugariya (bg)
Oruburuma (my)
Oruceeki (cs)
Oruchaina (zh)
Orudaaki (nl)
Orufaransa (fr)
Orugirimaani (de)
Oruguriiki (el)
Oruhangare (hu)
Oruharabu (ar)
Oruhausa (ha)
Oruhindi (hi)
Oruibo (ig)
Oruindonezia (id)
Orujapaani (ja)
Orujava (jv)
Orukambodiya (km)
Orukani (ak)
Orukoreya (ko)
Orukuraini (uk)
Orukuruki (tr)
Orumalesiya (ms)
Orumariki (am)
Orunepali (ne)
Orungyereza (en)
Orunyarwanda (rw)
Orupaasiya (fa)
Orupocugo (pt)
Orupoori (pl)
Orupungyabi (pa)
Oruromania (ro)
Orurrasha (ru)
Orusomaari (so)
Orusupaani (es)
Oruswidi (sv)
Orutailandi (th)
Orutamiri (ta)
Oruviyetinaamu (vi)
Oruyitare (it)
Oruyoruba (yo)
Oruzuru (zu)
Runyankore (nyn)
