abchaski (ab)
aceh (ace)
aczoli (ach)
adangme (ada)
adygejski (ady)
afar (aa)
afrihili (afh)
afrikaans (af)
afro-azjatycki (afa)
ajmara (ay)
ajnu (ain)
akadyjski (akk)
akan (ak)
albański (sq)
aleucki (ale)
ałtajski (tut)
amharski (am)
angielski (en)
angielski (USA) (en_US)
angielski kreolski lub pidżin (cpe)
angika (anp)
arabski (ar)
aragoński (an)
aramejski (arc)
arapaho (arp)
araukański (arn)
arawak (arw)
arumuński (rup)
asamski (as)
asturyjski (ast)
atsam (cch)
austriacki niemiecki (de_AT)
austronezyjski (map)
awadhi (awa)
awarski (av)
awestyjski (ae)
azande (znd)
azerski (az)
balijski (ban)
bałtycki (bat)
bambara (bm)
bantu (bnt)
basa (bas)
baskijski (eu)
baszkirski (ba)
batak (btk)
bedża (bej)
beludżi (bal)
bemba (bem)
bengalski (bn)
berberski (ber)
bhodźpuri (bho)
białoruski (be)
biharski (bh)
bikol (bik)
bini (bin)
birmański (my)
bislama (bi)
blin (byn)
bliss (zbl)
bośniacki (bs)
bradź (bra)
brak treści o charakterze lingwistycznym (zxx)
bretoński (br)
brytyjski angielski (en_GB)
bugiński (bug)
bułgarski (bg)
buriacki (bua)
cebuano (ceb)
celtycki (cel)
chamorro (ch)
chiński (zh)
chiński (tradycyjny) (zh_Hant)
chiński (uproszczony) (zh_Hans)
chińsko-tybetański (sit)
chipewyan (chp)
choctaw (cho)
chorwacki (hr)
chotański (kho)
creek (mus)
cygański (rom)
czagatajski (chg)
czam (cmc)
czeczeński (ce)
czeski (cs)
czibcza (chb)
czirokezki (chr)
czuang (za)
czuwaski (cv)
dajak (day)
dakota (dak)
dargwijski (dar)
delaware (del)
dinka (din)
dogri (doi)
dogrib (dgr)
dolnołużycki (dsb)
dolnosaksoński (nds)
drawidyjski (dra)
duala (dua)
duński (da)
dyula (dyu)
dzongkha (dz)
efik (efi)
ekajuk (eka)
elamicki (elx)
erzya (myv)
esperanto (eo)
estoński (et)
ewe (ee)
ewondo (ewo)
fang (fan)
fanti (fat)
farerski (fo)
fenicki (phn)
fidżijski (fj)
filipino (fil)
filipiński (phi)
fiński (fi)
flamandzki (Belgia) (nl_BE)
fon (fon)
francuski (fr)
francuski kreolski lub pidżin (cpf)
friulijski (fur)
fryzyjski (fy)
fryzyjski wschodni (frs)
fulani (ff)
ga (gaa)
galisyjski (gl)
ganda (lg)
gayo (gay)
gbaya (gba)
germański (gem)
gilbertański (gil)
gocki (got)
gondi (gon)
gorontalo (gor)
górnołużycki (hsb)
grebo (grb)
grecki (el)
grenlandzki (kl)
gruziński (ka)
guarani (gn)
gudźaracki (gu)
gwichʼin (gwi)
gyyz (gez)
haida (hai)
haitański (ht)
