Icarabu (ar)
Icesipanyolo (es)
Icongereza (en)
Igiceke (cs)
Igifaransa (fr)
Igihawusa (ha)
Igihindi (hi)
Igiholandi (nl)
Igikambodiya (km)
Igikani (ak)
Igiperisi (fa)
Igiporutugari (pt)
Igipunjabi (pa)
Igishinwa (zh)
Igisomali (so)
Igisuweduwa (sv)
Igitaliyani (it)
Igitamili (ta)
Igiturukiya (tr)
Ikibelarusiya (be)
Ikibengali (bn)
Ikidage (de)
Ikigereki (el)
Ikigubo (ig)
Ikimuhariki (am)
Ikinepali (ne)
Ikinyabirimaniya (my)
Ikinyabuligariya (bg)
Ikinyahongiriya (hu)
Ikinyakoreya (ko)
Ikinyamaleziya (ms)
Ikinyapolonye (pl)
Ikinyarumaniya (ro)
Ikinyarwanda (rw)
Ikinyatayilandi (th)
Ikinyaviyetinamu (vi)
Ikinyayukereni (uk)
Ikinyejava (jv)
Ikinyendoziya (id)
Ikirundi (rn)
Ikirusiya (ru)
Ikiyapani (ja)
Ikiyoruba (yo)
Ikizulu (zu)
Inyeyurudu (ur)
