akan (ak)
alemão (de)
amárico (am)
árabe (ar)
bengali (bn)
bielo-russo (be)
birmanês (my)
búlgaro (bg)
chinês (zh)
cmer (km)
coreano (ko)
espanhol (es)
francês (fr)
grego (el)
hausa (ha)
hindi (hi)
holandês (nl)
húngaro (hu)
ibo (ig)
indonésio (id)
inglês (en)
iorubá (yo)
italiano (it)
japonês (ja)
javanês (jv)
kinyarwanda (rw)
malaio (ms)
nepalês (ne)
panjabi (pa)
persa (fa)
polonês (pl)
português (pt)
romeno (ro)
russo (ru)
sena (seh)
somali (so)
sueco (sv)
tailandês (th)
tâmil (ta)
tcheco (cs)
turco (tr)
ucraniano (uk)
urdu (ur)
vietnamita (vi)
zulu (zu)
