Akâan (ak)
Amarîki (am)
Anglëe (en)
Arâbo (ar)
Bengäli (bn)
Bielörûsi (be)
Bulugäri (bg)
Ênnde (it)
Enndonezïi (id)
Espanyöl (es)
Farânzi (fr)
Farsî (fa)
Gerêki (el)
Haüsä (ha)
Hîndi (hi)
Holandëe (nl)
Hongruäa (hu)
Ïgbö (ig)
Kmêre (km)
Koreyëen (ko)
Malëe (ms)
Miamära, Birimäni (my)
Nepalëe (ne)
Penzäbï (pa)
Polonëe (pl)
Portugëe, Pûra (pt)
Ruandäa (rw)
Rumëen (ro)
Rûsi (ru)
Sängö (sg)
Shinuäa (zh)
Somalïi (so)
Sueduäa (sv)
Tämûli (ta)
Thâi (th)
Tûrûku (tr)
Tyêki (cs)
Ukrêni (uk)
Ûrdu (ur)
Vietnäm (vi)
Yoruba (yo)
Zâmani (de)
Zaponëe (ja)
Zavanëe (jv)
Zûlu (zu)
