tabilarust (be)
tabirmanit (my)
tablɣarit (bg)
tabnɣalit (bn)
tabnjabit (pa)
tabṛṭqizt (pt)
tabulunit (pl)
tacinwit (zh)
taɛrabt (ar)
tafitnamit (vi)
tafransist (fr)
tafursit (fa)
tagrigit (el)
tahawsat (ha)
tahindit (hi)
tahnɣarit (hu)
tahulandit (nl)
tajabbunit (ja)
tajavanit (jv)
takant (ak)
takurit (ko)
talimant (de)
tamalawit (ms)
tamazight (shi)
tamharit (am)
tandunisit (id)
tanglizt (en)
tanibalit (ne)
tarumanit (ro)
tarusit (ru)
taruwandit (rw)
tasbnyulit (es)
tasumalit (so)
taswidit (sv)
taṭalyant (it)
tatamilt (ta)
tataylandit (th)
tatcikit (cs)
taturkit (tr)
taxmirt (km)
tayrubat (yo)
tazulut (zu)
tigbut (ig)
tukranit (uk)
turdut (ur)
