ⵜⴰⴱⵉⵍⴰⵔⵓⵙⵜ (be)
ⵜⴰⴱⵉⵔⵎⴰⵏⵉⵜ (my)
ⵜⴰⴱⵍⵖⴰⵔⵉⵜ (bg)
ⵜⴰⴱⵏⵊⴰⴱⵉⵜ (pa)
ⵜⴰⴱⵏⵖⴰⵍⵉⵜ (bn)
ⵜⴰⴱⵓⵍⵓⵏⵉⵜ (pl)
ⵜⴰⴱⵕⵟⵇⵉⵣⵜ (pt)
ⵜⴰⴳⵔⵉⴳⵉⵜ (el)
ⵜⴰⴼⵉⵜⵏⴰⵎⵉⵜ (vi)
ⵜⴰⴼⵓⵔⵙⵉⵜ (fa)
ⵜⴰⴼⵔⴰⵏⵙⵉⵙⵜ (fr)
ⵜⴰⴽⴰⵏⵜ (ak)
ⵜⴰⴽⵓⵔⵉⵜ (ko)
ⵜⴰⵀⴰⵡⵙⴰⵜ (ha)
ⵜⴰⵀⵉⵏⴷⵉⵜ (hi)
ⵜⴰⵀⵏⵖⴰⵔⵉⵜ (hu)
ⵜⴰⵀⵓⵍⴰⵏⴷⵉⵜ (nl)
ⵜⴰⵄⵔⴰⴱⵜ (ar)
ⵜⴰⵅⵎⵉⵔⵜ (km)
ⵜⴰⵊⴰⴱⴱⵓⵏⵉⵜ (ja)
ⵜⴰⵊⴰⴼⴰⵏⵉⵜ (jv)
ⵜⴰⵍⵉⵎⴰⵏⵜ (de)
ⵜⴰⵎⴰⵍⴰⵡⵉⵜ (ms)
ⵜⴰⵎⴰⵣⵉⵖⵜ (shi)
ⵜⴰⵎⵀⴰⵔⵉⵜ (am)
ⵜⴰⵏⴳⵍⵉⵣⵜ (en)
ⵜⴰⵏⴷⵓⵏⵉⵙⵉⵜ (id)
ⵜⴰⵏⵉⴱⴰⵍⵉⵜ (ne)
ⵜⴰⵔⵓⵎⴰⵏⵉⵜ (ro)
ⵜⴰⵔⵓⵙⵉⵜ (ru)
ⵜⴰⵔⵓⵡⴰⵏⴷⵉⵜ (rw)
ⵜⴰⵙⴱⵏⵢⵓⵍⵉⵜ (es)
ⵜⴰⵙⵓⵎⴰⵍⵉⵜ (so)
ⵜⴰⵙⵡⵉⴷⵉⵜ (sv)
ⵜⴰⵛⵉⵏⵡⵉⵜ (zh)
ⵜⴰⵜⴰⵎⵉⵍⵜ (ta)
ⵜⴰⵜⴰⵢⵍⴰⵏⴷⵉⵜ (th)
ⵜⴰⵜⵓⵔⴽⵉⵜ (tr)
ⵜⴰⵜⵛⵉⴽⵉⵜ (cs)
ⵜⴰⵟⴰⵍⵢⴰⵏⵜ (it)
ⵜⴰⵢⵔⵓⴱⴰⵜ (yo)
ⵜⴰⵣⵓⵍⵓⵜ (zu)
ⵜⵉⴳⴱⵓⵜ (ig)
ⵜⵓⴽⵔⴰⵏⵉⵜ (uk)
ⵜⵓⵔⴷⵓⵜ (ur)
