chiAkani (ak)
chiAmaric (am)
chiArabu (ar)
chiBelarusi (be)
chiBengali (bn)
chiBulgarian (bg)
chiBurma (my)
chiChinese (zh)
chiCzech (cs)
chiDutch (nl)
chiFurenchi (fr)
chiGreek (el)
chiHausa (ha)
chiHindi (hi)
chiHungari (hu)
chiIgbo (ig)
chiIndonesia (id)
chiJapani (ja)
chiJava (jv)
chiJerimani (de)
chiKhema (km)
chiKoria (ko)
chiMalay (ms)
chiNepali (ne)
chiPeshiya (fa)
chiPolish (pl)
chiPunjabi (pa)
chiPutukezi (pt)
chiRashiya (ru)
chiRomanian (ro)
Chirungu (en)
chiRwanda (rw)
chiShona (sn)
chiSomali (so)
chiSpanish (es)
chiSwedish (sv)
chiTamil (ta)
chiTariana (it)
chiThai (th)
chiTurkish (tr)
chiUkrenia (uk)
chiUrdu (ur)
chiVietnam (vi)
chiYoruba (yo)
chiZulu (zu)
