Akan (ak)
Axmaari (am)
Bangaali (bn)
Beleruusiyaan (be)
Boolish (pl)
Boortaqiis (pt)
Bulgeeriyaan (bg)
Bunjaabi (pa)
Burmese (my)
Carabi (ar)
Faarisi (fa)
Faransiis (fr)
Fiitnaamays (vi)
Firiisiyan Galbeed (fy)
Giriik (el)
Hangariyaan (hu)
Hawsa (ha)
Hindi (hi)
Holandays (nl)
Igbo (ig)
Indunuusiyaan (id)
Ingiriisi (en)
Isbaanish (es)
Jabbaaniis (ja)
Jafaaniis (jv)
Jarmal (de)
Jayniis (zh)
Jeeg (cs)
Kamboodhian (km)
Kuuriyaan (ko)
Malaay (ms)
Nebaali (ne)
Romanka (ro)
Ruush (ru)
Rwanda (rw)
Soomaali (so)
Swiidhis (sv)
Taaylandays (th)
Talyaani (it)
Tamiil (ta)
Turkish (tr)
Urduu (ur)
Yoruuba (yo)
Yukreeniyaan (uk)
Zuulu (zu)
