กบายา (gba)
กรีก (el)
กรีกโบราณ (grc)
กรีนแลนด์ (kl)
กวนยามา (kj)
กวางตุ้ง (yue)
กวารานี (gn)
กวิชอิน (gwi)
กวี (kaw)
กอนกานี (kok)
กอนดิ (gon)
กอรอนทาโล (gor)
กะฉิ่น (kac)
กะเหรี่ยง (kar)
กันนาดา (kn)
กัศมีร์ (ks)
กา (gaa)
กาตาลัง (ca)
กาไบล (kab)
กาแปล (kpe)
กาโย (gay)
การา-กาลพาก (kaa)
กาลิเซีย (gl)
กาสี (kha)
กิลเบอร์ต (gil)
กีกูยู (ki)
กีซ (gez)
กุรุข (kru)
เกรโบ (grb)
เกาหลี (ko)
แกรเลียน (krl)
โกธิก (got)
โกมิ (kv)
เขมร (km)
คจู (kaj)
ครี (cr)
ครีก (mus)
ครีโอลหรือพิดจิ้น (crp)
ครีโอลหรือพิดจิ้นที่มาจากภาษาโปรตุเกส (cpp)
ครีโอลหรือพิดจิ้นที่มาจากภาษาฝรั่งเศส (cpf)
ครีโอลหรือพิดจิ้นที่มาจากภาษาอังกฤษ (cpe)
ครู (kro)
คลิงกอน (tlh)
ควิชัว (qu)
คองโก (kg)
คอปติก (cop)
คอร์ซิกา (co)
คอร์นิช (kw)
คะห์โอซา (xh)
คัดโด (cad)
คัมบา (kam)
คัลมืยค์ (xal)
คาซัค (kk)
คาซูเบียน (csb)
คานูรี (kr)
คาร์บาเดีย (kbd)
คาราไช-บัลคาร์ (krc)
คาริบ (car)
คิมบุนดู (kmb)
คีร์กีซ (ky)
คุชราต (gu)
คูเทไน (kut)
คูมืยค์ (kum)
คูสไร (kos)
เคิร์ด (ku)
โคตัน (kho)
โคเมอเรียน (swb)
โครเอเชีย (hr)
โคโร (kfo)
จ้วง (za)
จอร์เจีย (ka)
จีน (zh)
จีนดั้งเดิม (zh_Hant)
จีนประยุกต์ (zh_Hans)
ชวา (jv)
ช็อกทอว์ (cho)
ชะกะไต (chg)
ชามอร์โร (ch)
ชินุกจาร์กอน (chn)
ชิบชา (chb)
ชิพิวยัน (chp)
ชูก (chk)
ชูวัช (cv)
เช็ก (cs)
เชเชน (ce)
เชเยนเน (chy)
เชอร์ชสลาวิก (cu)
เชอโรกี (chr)
โชนา (sn)
ซอกดีน (sog)
ซองคา (dz)
ซองไฮ (son)
ซอร์บส์ตอนบน (hsb)
ซอร์บส์ตอนล่าง (dsb)
ซันดาเว (sad)
ซันเด (znd)
ซาซัก (sas)
ซาซา (zza)
ซาโปเตก (zap)
ซามัว (sm)
ซามิใต้ (sma)
ซามิลูเล (smj)
ซามิสคอลต์ (sms)
ซามิเหนือ (se)
ซามิอีนารี (smn)
ซาร์เดญา (sc)
ซิซิลี (scn)
ซิดาโม (sid)
ซิมชีแอน (tsi)
ซิิตซองกา (ts)
ซีเรีย (syr)
ซีเรียแบบดั้งเดิม (syc)
ซุนดา (su)
ซูคูมา (suk)
ซูซู (sus)
ซูนิ (zun)
ซูเมอ (sux)
ซูรินาเม (srn)
ซูลู (zu)
เซนากา (zen)
เซบู (ceb)
เซแรร์ (srr)
เซลคุป (sel)
เซอร์เบีย (sr)
เซอร์โบ-โครเอเชีย (sh)
แซงโก (sg)
โซโทใต้ (st)
โซโทเหนือ (nso)
โซนีนเก (snk)
โซมาลี (so)
ญี่ปุ่น (ja)
โฑครี (doi)
ดองกา (ng)
ดัตช์ (nl)
ดัตช์กลาง (dum)
ดัวลา (dua)
ดาโกทา (dak)
ดายัก (day)
ดาร์กิน (dar)
ดิงกา (din)
ดิวลา (dyu)
เดนมาร์ก (da)
เดลาแวร์ (del)
โดกริบ (dgr)
ตองกา (to)
ตากาล็อก (tl)
ตาตาร์ (tt)
ตาฮิตี (ty)
ติกริญญา (ti)
ตีเกร (tig)
ตุรกี (tr)
ตุรกีไครเมีย (crh)
ตุรกีออตโตมัน (ota)
ตูวา (tyv)
ตูวาลู (tvl)
เตตุม (tet)
เตลูกู (te)
