Tabelɣarit (bg)
Tabenjabit (pa)
Tabilarusit (be)
Tabinɣalit (bn)
Taburmanit (my)
Taburtuɣalit (pt)
Tačikt (cs)
Tacinwit,Mandarin (zh)
Tafarisit (fa)
Tafṛansist (fr)
Tahawsat (ha)
Tahenɣarit (hu)
Tahindit (hi)
Tahulanḍit (nl)
Tajappunit (ja)
Tajavanit (jv)
Takanit (ak)
Takurit (ko)
Talmanit (de)
Tamalizit (ms)
Tamaziɣt (tzm)
Tamharit (am)
Tanglizt (en)
Tanippalit (ne)
Tappulunit (pl)
Taṛumanit (ro)
Tarusit (ru)
Tarwandit (rw)
tasbelyunit (es)
Taṣumalit (so)
Taswidit (sv)
Taṭalyant (it)
Tatamilt (ta)
Taṭayt (th)
Taturkit (tr)
Taviṭnamit (vi)
Taxmert ,Talammast (km)
Tayunanit (el)
Tayurubat (yo)
tazulut (zu)
Taεrabt (ar)
Tigbut (ig)
Tindunisit (id)
Tukranit (uk)
Turdut (ur)
