Akaŋ (ak)
Amihári (am)
Bhelarusaŋ (be)
Bhɛmísi (my)
Bhɛŋgáli (bn)
Bhɔgerɛŋ (bg)
Chaniĩ (zh)
Chɛ (cs)
Dɔchi (nl)
Fɛŋsi (fr)
Hawusa (ha)
Hɛlɛŋ (el)
Híiŋdi (hi)
Hɔŋgérɛŋ (hu)
Ígbo (ig)
Índonisiyɛŋ (id)
Itáliyɛŋ (it)
Jamáĩ (de)
Japaníĩ (ja)
Javaníĩ (jv)
Kimɛɛ̃ tɛ (km)
Koríyɛŋ (ko)
Lahabu (ar)
Maléee (ms)
Nipali (ne)
Ɔdu (ur)
Panyɛĩ (es)
Pɛɛsiyɛŋ (fa)
Poo (en)
Potokíi (pt)
Pɔ́lési (pl)
Puŋjabhi (pa)
Rawunda (rw)
Romíniyɛŋ (ro)
Rɔshiyɛŋ (ru)
Somáli (so)
Súwídɛŋ (sv)
Tái (th)
Tamíli (ta)
Tɔ́ki (tr)
Vai (vai)
Viyamíĩ (vi)
Yóróbha (yo)
Yukureniyɛŋ (uk)
Zúlu (zu)
