Olu-urudu (ur)
Oluakaani (ak)
Oluamhariki (am)
Olubbama (my)
Olubelarusi (be)
Olubengali (bn)
Olubulugariya (bg)
Olucayina (zh)
Oluceeke (cs)
Oludaaki (de)
Olufalansa (fr)
Oluhangare (hu)
Oluhawuza (ha)
Oluhindu (hi)
Oluholandi (nl)
Olujapani (ja)
Olukme (km)
Olukoreya (ko)
Olulasa (ru)
Olulomaniya (ro)
Olumalayi (ms)
Olunarwanda (rw)
Olunepali (ne)
Olungereza (en)
Olunnajjava (jv)
Oluperusi (fa)
Olupolandi (pl)
Olupotugiizi (pt)
Olupunjabi (pa)
Olusipanya (es)
Olusoga (xog)
Olusomaliya (so)
Oluswideni (sv)
Olutake (tr)
Olutamiiru (ta)
Oluttaayi (th)
Oluvyetinaamu (vi)
Oluwarabu (ar)
Oluyibo (ig)
Oluyindonezya (id)
Oluyitale (it)
Oluyonaani (el)
Oluyoruba (yo)
Oluyukurayine (uk)
Oluzzulu (zu)
