akánɛ (ak)
amalíke (am)
bímanɛ (my)
bulgálɛ (bg)
cɛ́kɛ́ɛ (cs)
feleŋsí (fr)
íbo (ig)
índí (hi)
índonísiɛ (id)
íŋgilísé (en)
itáliɛ (it)
kímɛɛ (km)
kolíe (ko)
máliɛ (ms)
ndiáman (ja)
nilándɛ (nl)
nuasue (yav)
nuɛspanyɔ́lɛ (es)
nufiɛtnamíɛŋ (vi)
nukeleniɛ́ŋɛ (uk)
nuluándɛ́ɛ (rw)
nulumɛ́ŋɛ (ro)
nulúse (ru)
nulutú (ur)
nunipálɛ (ne)
nupɛ́lisɛ (fa)
nupolonɛ́ɛ (pl)
nupɔlitukɛ́ɛ (pt)
nupunsapíɛ́ (pa)
nusomalíɛ (so)
nusuetua (sv)
nusulú (zu)
nutámule (ta)
nutáyɛ (th)
nutúluke (tr)
nuyolúpa (yo)
ŋndiáman (de)
ɔ́ŋgɛ (hu)
pakas (ha)
́pakas (ar)
pengálɛ́ɛ (bn)
pielúse (be)
sinúɛ (zh)
yavánɛ (el)
yávanɛ (jv)
