阿布哈西亚文 (ab)
阿当梅文 (ada)
阿迪何文 (ady)
阿尔巴尼亚文 (sq)
阿尔泰诸语言（其他） (tut)
阿法文 (aa)
阿弗里希利文 (afh)
阿卡德文 (akk)
阿肯文 (ak)
阿拉伯文 (ar)
阿拉贡文 (an)
阿拉米文 (arc)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿劳坎文 (arn)
阿留申文 (ale)
阿姆哈拉文 (am)
阿帕切文 (apa)
阿乔利文 (ach)
阿萨姆文 (as)
阿萨帕斯坎语系 (ath)
阿塞拜疆文 (az)
阿斯图里亚思特文 (ast)
阿瓦尔文 (av)
阿瓦乔文 (awa)
阿维斯塔文 (ae)
阿伊努文 (ain)
埃菲克文 (efi)
埃克丘克文 (eka)
埃维文 (ee)
艾拉米特文 (elx)
艾马拉文 (ay)
爱尔兰文 (ga)
爱沙尼亚文 (et)
昂加语 (anp)
奥地利德文 (de_AT)
奥吉布瓦文 (oj)
奥克西唐语 (oc)
奥洛莫文 (om)
奥萨格文 (osa)
奥塞梯文 (os)
奥托曼土耳其文 (ota)
奥托米语系 (oto)
澳大利亚英文 (en_AU)
澳大利亚语系 (aus)
澳斯特罗尼西亚语系 (map)
巴勒比文 (car)
巴里文 (ban)
巴利文 (pi)
巴米累克语系 (bai)
巴萨文 (bas)
巴什客尔文 (ba)
巴斯克文 (eu)
巴塔克文 (btk)
巴西葡萄牙文 (pt_BR)
白俄罗斯文 (be)
柏柏尔文 (ber)
班巴拉文 (bm)
班达文 (bad)
班图文 (bnt)
邦阿西楠文 (pag)
邦板牙文 (pam)
保加利亚文 (bg)
北恩德贝勒文 (nd)
北弗里西亚语 (frr)
北萨米文 (se)
北索托文 (nso)
比哈尔文 (bh)
比尼文 (bin)
比斯拉马文 (bi)
俾路支文 (bal)
毕库尔文 (bik)
别姆巴文 (bem)
别札文 (bej)
冰岛文 (is)
波兰文 (pl)
波纳佩文 (pon)
波斯尼亚文 (bs)
波斯文 (fa)
博杰普尔文 (bho)
不丹文 (dz)
布吉文 (bug)
布拉杰文 (bra)
布里多尼文 (br)
布里亚特文 (bua)
布林文 (byn)
藏文 (bo)
查加文 (chg)
查米克文 (cmc)
查莫罗文 (ch)
车臣文 (ce)
彻罗基文 (chr)
楚瓦什文 (cv)
楚吾克文 (chk)
达尔格瓦文 (dar)
达科他文 (dak)
达雅克文 (day)
傣语诸语言（其他） (tai)
丹麦文 (da)
掸文 (shn)
德文 (de)
低地德文；低地撒克逊文 (nds)
迪维希文 (dv)
迪尤拉文 (dyu)
蒂夫文 (tiv)
蒂姆西亚文 (tsi)
丁卡文 (din)
东弗里西亚文 (frs)
都阿拉文 (dua)
多格拉文 (doi)
多格里布文 (dgr)
俄日亚文 (myv)
俄文 (ru)
恩东加文 (ng)
恩济马文 (nzi)
法罗文 (fo)
法文 (fr)
繁体中文 (zh_Hant)
梵文 (sa)
芳蒂文 (fat)
芳格文 (fan)
非洲撒哈拉沙漠边缘地带语言 (ssa)
菲律宾文 (fil)
腓尼基文 (phn)
斐济文 (fj)
芬兰文 (fi)
丰文 (fon)
弗留利文 (fur)
佛兰芒文 (nl_BE)
夫拉文 (ff)
盖丘亚文 (qu)
刚果文 (kg)
刚卡尼文 (kok)
岗德文 (gon)
哥特文 (got)
格列博文 (grb)
格陵兰文 (kl)
格鲁吉亚文 (ka)
葛巴亚文 (gba)
各种不同语系 (mis)
根语言 (root)
古埃及文 (egy)
古爱尔兰文 (sga)
古法文 (fro)
古高地德文 (goh)
古吉拉特文 (gu)
古老波斯语 (peo)
古诺尔斯文 (non)
古粟特语 (sog)
古希腊文 (grc)
古英文 (ang)
瓜拉尼文 (gn)
国际语 (ia)
国际语（E） (ie)
哈萨克文 (kk)
海达文 (hai)
海地文 (ht)
韩文 (ko)
豪撒文 (ha)
和田文 (kho)
荷兰文 (nl)
赫雷罗文 (hz)
赫马查利文 (him)
赫蒙文 (hmn)
赫梯文 (hit)
胡帕文 (hup)
基隆迪文 (rn)
吉尔伯特斯文 (gil)
吉尔吉斯文 (ky)
吉库尤文 (ki)
吉普赛文 (rom)
吉维克琴文 (gwi)
吉兹文 (gez)
加利西亚文 (gl)
加拿大法文 (fr_CA)
加拿大英文 (en_CA)
加泰罗尼亚文 (ca)
加文 (gaa)
迦约文 (gay)
柬埔寨文 (km)
简体中文 (zh_Hans)
捷克文 (cs)
金邦杜文 (kmb)
喀伦文 (kar)
卡巴尔达文 (kbd)
卡比尔文 (kab)
卡多文 (cad)
卡尔梅克文 (xal)
卡拉卡尔帕克文 (kaa)
卡拉恰伊巴尔卡尔文 (krc)
卡累利阿文 (krl)
卡姆巴文 (kam)
卡努里文 (kr)
卡琴文 (kac)
卡舒文 (csb)
卡威文 (kaw)
卡西文 (kha)
凯尔特文 (kw)
坎纳达文 (kn)
科罗语 (kfo)
科洛涅达罗文 (gor)
科米文 (kv)
科摩罗语 (swb)
科普特文 (cop)
科萨文 (xh)
科斯拉伊文 (kos)
科西嘉文 (co)
克里克文 (mus)
克里米亚土耳其文；克里米亚塔塔文 (crh)
克里族文 (cr)
克林贡文 (tlh)
克鲁文 (kro)
克罗地亚文 (hr)
克佩列文 (kpe)
克什米尔文 (ks)
库尔德文 (ku)
库鲁克文 (kru)
库梅克文 (kum)
库特内文 (kut)
宽亚玛文 (kj)
拉迪诺文 (lad)
拉丁美洲西班牙文 (es_419)
拉丁文 (la)
拉亨达文 (lah)
拉贾斯坦文 (raj)
拉罗汤加文 (rar)
拉帕努伊文 (rap)
拉脱维亚文 (lv)
莱兹依昂文 (lez)
兰巴文 (lam)
老挝文 (lo)
立陶宛文 (lt)
林加拉文 (ln)
淋布尔吉文 (li)
隆达文 (lun)
卢奥文 (luo)
卢干达文 (lg)
卢森堡文 (lb)
卢晒文 (lus)
卢旺达文 (rw)
鲁巴加丹加文 (lu)
鲁巴鲁瓦文 (lua)
路易塞诺文 (lui)
律勒欧萨莫斯语 (smj)
罗马尼亚文 (ro)
罗曼什文 (rm)
逻辑文 (jbo)
洛兹文 (loz)
马都拉文 (mad)
马恩岛文 (gv)
马尔加什文 (mg)
马尔瓦利文 (mwr)
马耳他文 (mt)
马加伊文 (mag)
马拉地文 (mr)
马拉雅拉姆文 (ml)
马来文 (ms)
马里文 (chm)
马诺博语系 (mno)
马其顿文 (mk)
马绍尔文 (mh)
玛雅语系 (myn)
迈蒂利文 (mai)
满文 (mnc)
曼达尔 (mdr)
曼丁哥文 (man)
曼尼普里文 (mni)
芒戈文 (lol)
毛利文 (mi)
美国英文 (en_US)
门迪文 (men)
蒙达语系 (mun)
蒙古文 (mn)
孟加拉文 (bn)
米克马克文 (mic)
米兰德斯文 (mwl)
米南卡保文 (min)
缅甸文 (my)
摩尔多瓦文 (mo)
摩霍克文 (moh)
莫克沙文 (mdf)
莫西文 (mos)
拿波里文 (nap)
纳瓦霍文 (nv)
纳瓦特尔文 (nah)
南阿尔泰文 (alt)
南恩德贝勒文 (nr)
南非荷兰文 (af)
南萨米文 (sma)
南索托文 (st)
瑙鲁文 (na)
尼昂科勒文 (nyn)
尼泊尔文 (ne)
尼瓦尔文 (new)
尼瓦尔文（Classical Newari） (nwc)
尼亚姆韦齐文 (nym)
尼亚斯文 (nia)
尼扬扎文 (ny)
尼约罗文 (nyo)
纽埃文 (niu)
努比亚语系 (nub)
挪威博克马尔文 (nb)
挪威尼诺斯克文 (nn)
挪威文 (no)
诺盖文 (nog)
欧里亚文 (or)
帕拉维文 (pal)
帕劳文 (pau)
帕皮亚门托文 (pap)
旁遮普文 (pa)
佩瓦扬文 (chp)
葡萄牙文 (pt)
普拉克里特诸语言 (pra)
普罗文斯文 (pro)
普什图文 (ps)
其他阿尔贡语系 (alg)
其他巴布亚文 (paa)
其他北美印第安语系 (nai)
其他波罗的语系 (bat)
其他德拉维语系 (dra)
其他菲律宾语系 (phi)
其他芬兰乌戈尔语系 (fiu)
其他高加索语系 (cau)
其他汉藏语系 (sit)
其他凯尔特语系 (cel)
其他科伊桑语系 (khi)
其他克里奥尔混合语系 (crp)
其他库施特语系 (cus)
其他拉丁语系 (roa)
其他孟高棉语系 (mkh)
其他南美印第安文 (sai)
其他尼日尔科尔多凡语系 (nic)
其他人工语系 (art)
其他日尔曼语系 (gem)
其他萨米文 (smi)
其他闪族语系 (sem)
其他斯拉夫语系 (sla)
其他亚非语系 (afa)
其他以法文为基础的克里奥尔混合语系 (cpf)
其他以葡萄牙文为基础的克里奥尔混合语系 (cpp)
其他以英文为基础的克里奥尔混合语系 (cpe)
其他印度语系 (inc)
其他印欧语系 (ine)
其他中美印第安语系 (cai)
契布卡文 (chb)
契努克文 (chn)
乔克托文 (cho)
日文 (ja)
瑞典文 (sv)
瑞士德文 (gsw)
瑞士法文 (fr_CH)
瑞士高地德文 (de_CH)
萨波蒂克文 (zap)
萨丁文 (sc)
萨利什文 (sal)
萨玛利亚文 (sam)
萨摩亚文 (sm)
萨萨克文 (sas)
萨伊语 (mas)
塞茨瓦纳文 (tn)
塞尔库普文 (sel)
塞尔维亚-克罗地亚文 (sh)
塞尔维亚文 (sr)
散达维文 (sad)
桑戈文 (sg)
桑海文 (son)
桑塔利文 (sat)
僧伽罗文 (si)
上索布文 (hsb)
绍纳文 (sn)
世界文 (eo)
手语 (sgn)
司克司卡文 (bla)
司雷夫文 (den)
斯科特萨米文 (sms)
斯洛伐克文 (sk)
斯洛文尼亚文 (sl)
斯瓦特文 (ss)
斯瓦希里文 (sw)
四川彝文 (ii)
