丁卡文 (din)
人工語言 (art)
上索布文 (hsb)
下索布文 (dsb)
土凡文 (tyv)
土耳其文 (tr)
土庫曼文 (tk)
大溪地文 (ty)
干達文 (lg)
不丹文 (dz)
不確定語言 (und)
中文 (zh)
中古法文 (frm)
中古英文 (enm)
中古高地德文 (gmh)
中古荷蘭文 (dum)
中古愛爾蘭文 (mga)
中美印第安諸語言 (cai)
丹麥文 (da)
厄爾茲亞文 (myv)
尤皮克諸語言 (ypk)
巴什客爾文 (ba)
巴布亞諸語言 (paa)
巴列維文 (pal)
巴米累克諸語言 (bai)
巴利文 (pi)
巴斯克文 (eu)
巴塔克文 (btk)
巴薩文 (bas)
手語 (sgn)
扎扎文 (zza)
日文 (ja)
日耳曼諸語言 (gem)
比尼文 (bin)
比林文 (byn)
比哈爾文 (bh)
比科爾文 (bik)
比斯拉馬文 (bi)
毛利文 (mi)
爪哇文 (jv)
世界語 (eo)
加里西亞文 (gl)
加約文 (gay)
加拿大法语 (fr_CA)
加拿大英语 (en_CA)
加泰羅尼亞文 (ca)
加勒比文 (car)
加族文 (gaa)
北方薩米文 (se)
北弗里西亞文 (frr)
北印度文 (hi)
北地畢列文 (nd)
北美印第安諸語言 (nai)
北索托文 (nso)
卡巴爾達文 (kbd)
卡比爾文 (kab)
卡布威爾第文 (kea)
卡多文 (cad)
卡西文 (kha)
卡努裡文 (kr)
卡姆巴文 (kam)
卡拉卡爾帕克文 (kaa)
卡拉柴-包爾卡爾文 (krc)
卡威文 (kaw)
卡累利阿文 (krl)
卡琴文 (kac)
卡舒布文 (csb)
卡爾梅克文 (xal)
古尼瓦爾文 (nwc)
古希臘文 (grc)
古法文 (fro)
古波斯文 (peo)
古英文 (ang)
古埃及文 (egy)
古高地日耳曼文 (goh)
古敘利亞文 (syc)
古普羅旺斯文 (pro)
古愛爾蘭文（至 900） (sga)
古諾爾斯文 (non)
史瓦希里文 (sw)
四川彝文 (ii)
尼日爾科爾多凡諸語言 (nic)
尼瓦爾文 (new)
尼亞斯文 (nia)
尼泊爾文 (ne)
尼茲馬文 (nzi)
尼揚科萊文 (nyn)
尼揚韋齊文 (nym)
尼揚賈文 (ny)
尼奧囉文 (nyo)
尼羅撒哈拉諸語言 (ssa)
布列斯符號 (zbl)
布吉斯文 (bug)
布里多尼文 (br)
布里阿特文 (bua)
布拉杰文 (bra)
弗留利文 (fur)
瓜拉尼文 (gn)
瓦卡什諸語言 (wak)
瓦拉莫文 (wal)
瓦紹文 (was)
瓦隆文 (wa)
瓦瑞文 (war)
瓦瑟文 (wae)
白俄羅斯文 (be)
立陶宛語 (lt)
伊布文 (ig)
伊洛闊文 (ilo)
伊朗文 (io)
伊朗諸語言 (ira)
伊班文 (iba)
伊納裡薩米文 (smn)
伊喬文 (ijo)
冰島文 (is)
列茲干文 (lez)
匈牙利文 (hu)
印古什文 (inh)
印尼文 (id)
印度語 (sd)
印度諸語言 (inc)
印歐諸語言 (ine)
吉亞拉塔文 (gu)
吉庫尤文 (ki)
吉茲文 (gez)
吉普賽文 (rom)
吉爾吉斯文 (ky)
吉爾伯特群島文 (gil)
吐瓦魯文 (tvl)
因紐特文 (iu)
圭契文 (gwi)
多格里布文 (dgr)
多格來文 (doi)
托比辛文 (tpi)
托克勞文 (tkl)
米克馬克文 (mic)
米南卡堡文 (min)
米蘭德斯文 (mwl)
艾卡朱克文 (eka)
艾馬拉文 (ay)
西弗里西亞文 (fy)
西西里文 (scn)
西里莫圖土文 (ho)
西非書面語言（N'ko） (nqo)
西班牙文 (es)
西班牙语（伊比利亚） (es_ES)
低地德文 (nds)
佔語諸語言 (cmc)
克什米爾文 (ks)
克里米亞半島的土耳其文；克里米亞半島的塔塔爾文 (crh)
克里克文 (mus)
克里奧爾文和皮欽文 (crp)
克佩列文 (kpe)
克林貢文 (tlh)
克倫文 (kar)
克裡文 (cr)
克魯文 (kro)
克羅埃西亞文 (hr)
別姆巴文 (bem)
努比亞諸語言 (nub)
坎那達文 (kn)
壯文 (za)
希伯來文 (he)
希利蓋農文 (hil)
希達摩文 (sid)
希臘文 (el)
杜亞拉文 (dua)
沃拉普克文 (vo)
沃提克文 (vot)
沃蒂艾克文 (udm)
沃爾夫文 (wo)
沙伊安文 (chy)
芒戈文 (lol)
貝扎文 (bej)
貝納文 (bez)
車臣文 (ce)
里托羅曼斯文 (rm)
亞非諸語言 (afa)
亞美尼亞文 (hy)
亞塞拜然文 (az)
亞齊文 (ace)
依奴皮維克文 (ik)
依伯利亚葡萄牙文 (pt_PT)
依汪都文 (ewo)
和闐文 (kho)
坦米爾文 (ta)
奇布查文 (chb)
奇佩瓦揚文 (chp)
姆本杜文 (umb)
孟文 (hmn)
孟加拉文 (bn)
孟高棉諸語言 (mkh)
宗教斯拉夫文 (cu)
岡德文 (gon)
帕皮阿門托文 (pap)
帛琉文 (pau)
拉丁文 (la)
拉丁美洲西班牙语 (es_419)
拉亨達文 (lah)
拉迪諾文 (lad)
拉脫維亞文 (lv)
拉賈斯坦諸文 (raj)
拉羅通加文 (rar)
昂加文 (anp)
易洛魁文 (iro)
東加文 (to)
東加文（尼亞薩） (tog)
東弗里西亞文 (frs)
林加拉文 (ln)
林堡文 (li)
法文 (fr)
法羅文 (fo)
法蘭德斯文 (nl_BE)
波士尼亞文 (bs)
波那貝文 (pon)
波斯文 (fa)
波羅的海諸語言 (bat)
波蘭文 (pl)
芬烏諸語言 (fiu)
芬蘭文 (fi)
芳族文 (fan)
芳蒂文 (fat)
金邦杜文 (kmb)
門德文 (men)
阿卡德文 (akk)
阿布哈茲文 (ab)
阿弗里希利文 (afh)
阿瓦文 (awa)
阿瓦爾文 (av)
阿坎文 (ak)
阿姆哈拉文 (am)
阿帕切諸語言 (apa)
阿拉瓦克文 (arw)
阿拉米文 (arc)
阿拉伯文 (ar)
阿拉帕霍文 (arp)
阿拉貢文 (an)
阿法文 (aa)
阿迪各文 (ady)
阿留申文 (ale)
阿曼文 (om)
阿勞坎文 (arn)
阿斯圖里亞文 (ast)
阿當莫文 (ada)
阿僑利文 (ach)
阿爾巴尼亞文 (sq)
阿爾岡昆諸語言 (alg)
阿爾泰諸語言（其他） (tut)
阿緯斯陀文 (ae)
阿燦文 (cch)
阿薩姆文 (as)
阿薩帕斯坎諸語言 (ath)
阿蘇文 (asa)
俄文 (ru)
保加利亞文 (bg)
南地畢列文 (nr)
南阿爾泰文 (alt)
南非荷蘭文 (af)
南美印第安諸語言 (sai)
南島諸語言 (map)
南薩米文 (sma)
哈薩克文 (kk)
契奴克文 (chn)
威爾斯文 (cy)
峇里文 (ban)
柏柏爾文 (ber)
查加文 (chg)
查莫洛文 (ch)
洛齊文 (loz)
科米文 (kv)
科西嘉文 (co)
科依桑諸語言 (khi)
科斯雷恩文 (kos)
科普特文 (cop)
科隆達羅文 (gor)
科薩文 (xh)
科羅文 (kfo)
突尼西亞文 (tn)
約魯巴文 (yo)
胡帕文 (hup)
英文 (en)
英语（美国） (en_US)
英语（英国） (en_GB)
英语（澳大利亚） (en_AU)
迪尤拉文 (dyu)
迪雅克文 (day)
迪維西文 (dv)
俾路支文 (bal)
剛果文 (kg)
哥德文 (got)
埃菲克文 (efi)
埃維文 (ee)
埃蘭文 (elx)
夏威夷文 (haw)
庫施特諸語言 (cus)
庫特奈文 (kut)
庫密克文 (kum)
庫爾德文 (ku)
庫魯科文 (kru)
恩布文 (ebu)
恩東加文 (ng)
拿波里文 (nap)
挪威文 (no)
挪威波克默爾文 (nb)
旁遮普文 (pa)
柴羅基文 (chr)
根語言 (root)
格列博文 (grb)
格陵蘭文 (kl)
桑戈文 (sg)
桑海文 (son)
桑達韋文 (sad)
泰文 (th)
泰雷諾文 (ter)
泰頓文 (tet)
泰盧固文 (te)
海地文 (ht)
海達文 (hai)
烏加列文 (uga)
烏克蘭文 (uk)
烏茲別克文 (uz)
烏爾都文 (ur)
特松加文 (ts)
特林基特文 (tli)
特威文 (tw)
班巴拉文 (bm)
班達文 (bad)
班圖諸語言 (bnt)
祖尼文 (zun)
祖魯文 (zu)
納瓦約文 (nv)
納瓦特文 (nah)
紐埃文 (niu)
索尼基文 (snk)
索布諸語言 (wen)
索格底亞納文 (sog)
索馬利文 (so)
貢根文 (kok)
閃語諸語言 (sem)
馬加伊文 (mag)
馬里文 (chm)
馬來文 (ms)
馬來亞拉姆文 (ml)
馬其頓文 (mk)
馬拉地文 (mr)
馬紹爾文 (mh)
馬都拉文 (mad)
馬雅諸語言 (myn)
馬爾他文 (mt)
馬爾加什文 (mg)
馬爾尼裡文 (mwr)
馬諾博諸語言 (mno)
馬賽文 (mas)
高加索諸語言 (cau)
高棉文 (km)
國際文（A） (ia)
國際文（E） (ie)
宿霧文 (ceb)
康瓦耳文 (kw)
捷克文 (cs)
敘利亞文 (syr)
曼丁哥文 (man)
曼尼普裡文 (mni)
曼島文 (gv)
曼達文 (mdr)
望加錫文 (mak)
梵文 (sa)
混雜語諸語言 (mis)
荷蘭文 (nl)
莫西文 (mos)
莫克沙文 (mdf)
莫霍克文 (moh)
處奇斯文 (chk)
傣語諸語言 (tai)
凱爾特諸語言 (cel)
博多文 (brx)
博傑普爾文 (bho)
喬克托文 (cho)
喬治亞文 (ka)
奥地利德语 (de_AT)
富拉文 (ff)
巽他語 (su)
復活島文 (rap)
提夫文 (tiv)
提姆文 (tem)
提格利尼亞文 (ti)
散塔利文 (sat)
斐濟文 (fj)
斯瓦特文 (ss)
斯拉夫 (den)
斯拉夫諸語言 (sla)
斯洛伐克文 (sk)
斯洛維尼亞文 (sl)
斯科特薩米文 (sms)
普什圖文 (ps)
普拉克里特諸語言 (pra)
欽西安文 (tsi)
無語言內容 (zxx)
猶太阿拉伯文 (jrb)
猶太教-波斯文 (jpr)
腓尼基文 (phn)
菲律賓文 (fil)
菲律賓諸語言 (phi)
越南文 (vi)
越南文（Vai） (vai)
鄂圖曼土耳其文 (ota)
隆迪文 (rn)
